id	名称	每日奖励1	每日奖励2	每日奖励3	每日奖励4	星星奖励1	星星奖励2	空行
1	천수	{{-3,4,100000}}	{{-3,4,200000}}	{{-3,4,400000}}	{{-3,4,800000}}	{{-3,4,6000000},{75,4,5}}	{{-2,4,1500},{77,4,5}}	
2	성도	{{-3,4,120000}}	{{-3,4,240000}}	{{-3,4,480000}}	{{-3,4,960000}}	{{-3,4,9000000},{75,4,7}}	{{-2,4,2000},{77,4,7}}	
3	한중	{{-3,4,100000}}	{{-3,4,200000}}	{{-3,4,400000}}	{{-3,4,800000}}	{{-3,4,6000000},{75,4,5}}	{{-2,4,1500},{77,4,5}}	
4	건녕	{{-3,4,80000}}	{{-3,4,160000}}	{{-3,4,320000}}	{{-3,4,640000}}	{{-3,4,3000000},{75,4,3}}	{{-2,4,1000},{77,4,3}}	
5	영안	{{-3,4,80000}}	{{-3,4,160000}}	{{-3,4,320000}}	{{-3,4,640000}}	{{-3,4,3000000},{75,4,3}}	{{-2,4,1000},{77,4,3}}	
6	장안	{{-3,4,140000}}	{{-3,4,280000}}	{{-3,4,560000}}	{{-3,4,1120000}}	{{-3,4,12000000},{75,4,10}}	{{-2,4,3000},{77,4,10}}	
7	남피	{{-3,4,80000}}	{{-3,4,160000}}	{{-3,4,320000}}	{{-3,4,640000}}	{{-3,4,3000000},{75,4,3}}	{{-2,4,1000},{77,4,3}}	
8	강하	{{-3,4,80000}}	{{-3,4,160000}}	{{-3,4,320000}}	{{-3,4,640000}}	{{-3,4,3000000},{75,4,3}}	{{-2,4,1000},{77,4,3}}	
9	허창	{{-3,4,120000}}	{{-3,4,240000}}	{{-3,4,480000}}	{{-3,4,960000}}	{{-3,4,9000000},{75,4,7}}	{{-2,4,2000},{77,4,7}}	
10	건안	{{-3,4,100000}}	{{-3,4,200000}}	{{-3,4,400000}}	{{-3,4,800000}}	{{-3,4,6000000},{75,4,5}}	{{-2,4,1500},{77,4,5}}	
11	건업	{{-3,4,120000}}	{{-3,4,240000}}	{{-3,4,480000}}	{{-3,4,960000}}	{{-3,4,9000000},{75,4,7}}	{{-2,4,2000},{77,4,7}}	
12	하비	{{-3,4,80000}}	{{-3,4,160000}}	{{-3,4,320000}}	{{-3,4,640000}}	{{-3,4,3000000},{75,4,3}}	{{-2,4,1000},{77,4,3}}	
