城池	主将id	主将阶级	主将等级	副将1id	副将1阶级	副将1等级	副将2id	副将2阶级	副将2等级	小兵1ID	小兵2ID	小兵3ID	小兵等级	金币	物品1_ID	物品1类型	物品1数量	物品1概率	物品2_ID	物品2类型	物品2数量	物品2概率	物品3_ID	物品3类型	物品3数量	物品3概率	物品4_ID	物品4类型	物品4数量	物品4概率	物品5_ID	物品5类型	物品5数量	物品5概率	消耗能量	空列
11	114	12	420							1103	2103	3102	20	5000	114	5	1	100																	5	
12	114	32	500							1103	2103	3103	30	10000	114	5	1	100																	5	
13	114	46	900							1104	2104	3104	40	15000	114	5	1	100																	5	
14	114	52	1500							1105	2105	3105	50	20000	114	5	1	100																	5	
21	129	12	420							1103	2103	3102	20	5000	129	5	1	100																	5	
22	129	32	500							1103	2103	3103	30	10000	129	5	1	100																	5	
23	129	46	900							1104	2104	3104	40	15000	129	5	1	100																	5	
24	129	52	1500							1105	2105	3105	50	20000	129	5	1	100																	5	
31	115	12	420							1103	2103	3102	20	5000	115	5	1	100																	5	
32	115	32	500							1103	2103	3103	30	10000	115	5	1	100																	5	
33	115	46	900							1104	2104	3104	40	15000	115	5	1	100																	5	
34	115	52	1500							1105	2105	3105	50	20000	115	5	1	100																	5	
41	133	12	420							1103	2103	3102	20	5000	133	5	1	100																	5	
42	133	32	500							1103	2103	3103	30	10000	133	5	1	100																	5	
43	133	46	900							1104	2104	3104	40	15000	133	5	1	100																	5	
44	133	52	1500							1105	2105	3105	50	20000	133	5	1	100																	5	
51	126	12	420							1103	2103	3102	20	5000	126	5	1	100																	5	
52	126	32	500							1103	2103	3103	30	10000	126	5	1	100																	5	
53	126	46	900							1104	2104	3104	40	15000	126	5	1	100																	5	
54	126	52	1500							1105	2105	3105	50	20000	126	5	1	100																	5	
61	137	12	420							1103	2103	3102	20	5000	137	5	1	100																	5	
62	137	32	500							1103	2103	3103	30	10000	137	5	1	100																	5	
63	137	46	900							1104	2104	3104	40	15000	137	5	1	100																	5	
64	137	52	1500							1105	2105	3105	50	20000	137	5	1	100																	5	
71	135	12	420							1103	2103	3102	20	5000	135	5	1	100																	5	
72	135	32	500							1103	2103	3103	30	10000	135	5	1	100																	5	
73	135	46	900							1104	2104	3104	40	15000	135	5	1	100																	5	
74	135	52	1500							1105	2105	3105	50	20000	135	5	1	100																	5	
81	116	12	420							1103	2103	3102	20	5000	116	5	1	100																	5	
82	116	32	500							1103	2103	3103	30	10000	116	5	1	100																	5	
83	116	46	900							1104	2104	3104	40	15000	116	5	1	100																	5	
84	116	52	1500							1105	2105	3105	50	20000	116	5	1	100																	5	
91	134	12	420							1103	2103	3102	20	5000	134	5	1	100																	5	
92	134	32	500							1103	2103	3103	30	10000	134	5	1	100																	5	
93	134	46	900							1104	2104	3104	40	15000	134	5	1	100																	5	
94	134	52	1500							1105	2105	3105	50	20000	134	5	1	100																	5	
101	136	12	420							1103	2103	3102	20	5000	136	5	1	100																	5	
102	136	32	500							1103	2103	3103	30	10000	136	5	1	100																	5	
103	136	46	900							1104	2104	3104	40	15000	136	5	1	100																	5	
104	136	52	1500							1105	2105	3105	50	20000	136	5	1	100																	5	
111	132	12	420							1103	2103	3102	20	5000	132	5	1	100																	5	
112	132	32	500							1103	2103	3103	30	10000	132	5	1	100																	5	
113	132	46	900							1104	2104	3104	40	15000	132	5	1	100																	5	
114	132	52	1500							1105	2105	3105	50	20000	132	5	1	100																	5	
121	124	12	420							1103	2103	3102	20	5000	124	5	1	100																	5	
122	124	32	500							1103	2103	3103	30	10000	124	5	1	100																	5	
123	124	46	900							1104	2104	3104	40	15000	124	5	1	100																	5	
124	124	52	1500							1105	2105	3105	50	20000	124	5	1	100																	5	
