小等级	大等级	主将id	主将阶级	主将等级	副将1id	副将1阶级	副将1等级	副将2id	副将2阶级	副将2等级	小兵1ID	小兵2ID	小兵3ID	小兵等级	空行
40	49	1	14	440	2	14	440	3	14	440	1102	2102	3102	15	
50	59	1	20	580	2	20	580	3	20	580	1103	2103	3103	25	
60	69	1	26	820	2	26	820	3	26	820	1103	2103	3103	30	
70	79	1	32	1080	2	32	1080	3	32	1080	1104	2104	3104	35	
80	89	1	32	1250	2	32	1250	3	32	1250	1104	2104	3104	40	
90	99	1	32	1320	2	32	1320	3	32	1320	1104	2104	3104	45	
100	109	1	32	1420	2	32	1420	3	32	1420	1104	2104	3104	50	
110	119	1	32	1520	2	32	1520	3	32	1520	1104	2104	3104	50	
120	129	1	32	1620	2	32	1620	3	32	1620	1105	2105	3105	25	
130	139	1	32	1720	2	32	1720	3	32	1720	1105	2105	3105	50	
