英雄ID	阶级	展示名称	主动技能ID	被动技能1ID	被动技能2ID	被动技能3ID	被动技能4ID	被动技能5ID	被动技能6ID	空行												
1	1	용사교위	100048																			
1	2	진•용사교위	100048	10																		
1	3	귀•용사교위	101048	10																		
1	4	신•용사교위	101048	10	11																	
1	5	성•용사교위	102048	10	11																	
1	6	왕•용사교위	102048	10	11	12																
1	7	황•용사교위	103048	10	11	12																
2	1	도위	100046																			
2	2	진•도위	100046	10																		
2	3	귀•도위	101046	10																		
2	4	신•도위	101046	10	11																	
2	5	성•도위	102046	10	11																	
2	6	왕•도위	102046	10	11	12																
2	7	황•도위	103046	10	11	12																
3	1	금위군	100056																			
3	2	진•금위군	100056	10																		
3	3	귀•금위군	101056	10																		
3	4	신•금위군	101056	10	11																	
3	5	성•금위군	102056	10	11																	
3	6	왕•금위군	102056	10	11	12																
3	7	황•금위군	103056	10	11	12																
4	1	호위병	100062																			
4	2	진•호위병	100062	10																		
4	3	귀•호위병	101062	10																		
4	4	신•호위병	101062	10	11																	
4	5	성•호위병	102062	10	11																	
4	6	왕•호위병	102062	10	11	12																
4	7	황•호위병	103062	10	11	12																
5	1	병조	100062																			
5	2	진•병조	100062	10																		
5	3	귀•병조	101062	10																		
5	4	신•병조	101062	10	11																	
5	5	성•병조	102062	10	11																	
5	6	왕•병조	102062	10	11	12																
5	7	황•병조	103062	10	11	12																
6	1	감군	100062																			
6	2	진•감군	100062	10																		
6	3	귀•감군	101062	10																		
6	4	신•감군	101062	10	11																	
6	5	성•감군	102062	10	11																	
6	6	왕•감군	102062	10	11	12																
6	7	황•감군	103062	10	11	12																
7	1	호군	100062																			
7	2	진•호군	100062	10																		
7	3	귀•호군	101062	10																		
7	4	신•호군	101062	10	11																	
7	5	성•호군	102062	10	11																	
7	6	왕•호군	102062	10	11	12																
7	7	황•호군	103062	10	11	12																
8	1	독군	100046																			
8	2	진•독군	100046	10																		
8	3	귀•독군	101046	10																		
8	4	신•독군	101046	10	11																	
8	5	성•독군	102046	10	11																	
8	6	왕•독군	102046	10	11	12																
8	7	황•독군	103046	10	11	12																
9	1	주작사	200072																			
9	2	진•주작사	200072	4																		
9	3	귀•주작사	201072	4																		
9	4	신•주작사	201072	4	5																	
