等级	物品	空行
30	{{119,1,1},{46,4,2}}	
45	{{128,1,1},{46,4,2}}	
52	{{131,1,1},{46,4,2}}	
58	{{114,1,1},{46,4,2}}	
64	{{115,1,1},{46,4,2}}	
69	{{116,1,1},{46,4,2}}	
73	{{117,1,1},{46,4,2}}	
76	{{118,1,1},{46,4,2}}	
79	{{119,1,1},{46,4,2}}	
81	{{120,1,1},{46,4,2}}	
83	{{121,1,1},{46,4,2}}	
85	{{122,1,1},{46,4,2}}	
87	{{123,1,1},{46,4,2}}	
89	{{124,1,1},{46,4,2}}	
91	{{125,1,1},{46,4,2}}	
93	{{126,1,1},{46,4,2}}	
95	{{127,1,1},{46,4,2}}	
97	{{128,1,1},{46,4,2}}	
99	{{129,1,1},{46,4,2}}	
101	{{130,1,1},{46,4,3}}	
103	{{131,1,1},{46,4,3}}	
105	{{132,1,1},{46,4,3}}	
107	{{133,1,1},{46,4,3}}	
109	{{134,1,1},{46,4,3}}	
110	{{135,1,1},{46,4,3}}	
111	{{136,1,1},{46,4,3}}	
112	{{137,1,1},{46,4,3}}	
113	{{138,1,1},{46,4,3}}	
114	{{139,1,1},{46,4,3}}	
115	{{114,1,1},{46,4,3}}	
116	{{115,1,1},{46,4,3}}	
117	{{116,1,1},{46,4,3}}	
118	{{117,1,1},{46,4,3}}	
119	{{118,1,1},{46,4,3}}	
120	{{119,1,1},{46,4,4}}	
121	{{120,1,1},{46,4,4}}	
122	{{121,1,1},{46,4,4}}	
123	{{122,1,1},{46,4,4}}	
124	{{123,1,1},{46,4,4}}	
125	{{124,1,1},{46,4,4}}	
126	{{125,1,1},{46,4,4}}	
127	{{126,1,1},{46,4,4}}	
128	{{127,1,1},{46,4,4}}	
129	{{128,1,1},{46,4,4}}	
130	{{129,1,1},{46,4,5}}	
131	{{130,1,1},{46,4,5}}	
132	{{131,1,1},{46,4,5}}	
133	{{132,1,1},{46,4,5}}	
134	{{133,1,1},{46,4,5}}	
135	{{134,1,1},{46,4,5}}	
136	{{135,1,1},{46,4,5}}	
137	{{136,1,1},{46,4,5}}	
138	{{137,1,1},{46,4,5}}	
139	{{138,1,1},{46,4,5}}	
140	{{139,1,1},{46,4,5}}	
141	{{114,1,1},{46,4,5}}	
142	{{115,1,1},{46,4,5}}	
143	{{116,1,1},{46,4,5}}	
144	{{117,1,1},{46,4,5}}	
145	{{118,1,1},{46,4,5}}	
146	{{119,1,1},{46,4,5}}	
147	{{120,1,1},{46,4,5}}	
148	{{121,1,1},{46,4,5}}	
149	{{122,1,1},{46,4,5}}	
150	{{123,1,1},{46,4,5}}	
151	{{124,1,1},{46,4,5}}	
152	{{125,1,1},{46,4,5}}	
153	{{126,1,1},{46,4,5}}	
154	{{127,1,1},{46,4,5}}	
155	{{128,1,1},{46,4,5}}	
156	{{129,1,1},{46,4,5}}	
157	{{130,1,1},{46,4,5}}	
158	{{131,1,1},{46,4,5}}	
159	{{132,1,1},{46,4,5}}	
160	{{133,1,1},{46,4,5}}	
