id	名字	描述	生命	攻击	法术	法防	技能范围	技能基准点	阵营选择	值条件(条件)	百分比条件(条件)	几率(条件)	值(条件)	百分比(条件)	延迟时间	间隔时间	总时间	效果选择	作用属性	效果状态	百分比	基础伤害	技能伤害类型	延时类型	触发时机	比例(触发)	技能片特效	效果描述	技能声效	参数1	参数2	参数3	参数4	空行
1	王者之道	崇尚仁义的勇士，在神的佑护下，我方所有士兵生命大幅提升	0.2	0	0		44		1																									
2	霸者之道	为理想，不惜一切代价的英雄，我方所有士兵攻击大幅提升	0	0.2	0.2		44		1																									
3	运筹之道	临兵斗者皆阵列在前，我方所有士兵生命加强，攻击加强	0.2	0.1	0.2		44		1																									
4	弓兵指挥	有自己上阵的战斗，我方弓兵的生命大幅提升	0.2	0	0		35		1																									
5	弓兵精英	有自己上阵的战斗，我方弓兵的攻击大幅提升	0	0.2	0		35		1																									
6	神弓连弩	有自己上阵的战斗，我方弓兵的生命加强，攻击加强	0.2	0.1	0.2		35		1																									
7	步兵指挥	有自己上阵的战斗，我方步兵的生命大幅提升	0.2	0	0		33		1																									
8	步兵精英	有自己上阵的战斗，我方步兵的攻击大幅提升	0	0.2	0		33		1																									
9	羽林禁卫	有自己上阵的战斗，我方步兵的生命加强，攻击加强	0.2	0.1	0.2		33		1																									
10	骑兵指挥	有自己上阵的战斗，我方骑兵的生命大幅提升	0.2	0	0		34		1																									
11	骑兵精英	有自己上阵的战斗，我方骑兵的攻击大幅提升	0	0.2	0		34		1																									
12	骠骑铁骑	有自己上阵的战斗，我方骑兵的生命加强，攻击加强	0.2	0.1	0.2		34		1																									
1000000	生命强化	战场中提升自己30%生命					9	1	1			1			1			1	3		0.3													
1000001	攻击强化	战场中提升自己30%攻击					9	1	1			1			1			1	1		0.3													
1000002	法术强化	战场中提升自己30%法术					9	1	1			1			1			1	4		0.3													
1000003	法防强化	战场中提升自己100%法防					9	1	1			1			1			1	5		1													
1000004	生命觉醒	战场中提升自己60%生命					9	1	1			1			1			1	3		0.5													
1000005	攻击觉醒	战场中提升自己60%攻击					9	1	1			1			1			1	1		0.5													
1000006	法术觉醒	战场中提升自己60%法术					9	1	1			1			1			1	4		0.5													
1000007	法防觉醒	战场中提升自己500%法法防					9	1	1			1			1			1	5		5													
